datetime,underlying_price,hour,minute,strike,option_type,iv,option_name
2026-01-07 09:15:00,26111.65,9,15,25200,1,0.12662,NIFTY27JAN2625200CE
2026-01-07 09:20:00,26141.4,9,20,25200,1,0.08632,NIFTY27JAN2625200CE
2026-01-07 09:25:00,26139.35,9,25,25200,1,0.09147,NIFTY27JAN2625200CE
2026-01-07 09:30:00,26128.95,9,30,25200,1,0.1086,NIFTY27JAN2625200CE
2026-01-07 09:35:00,26131.9,9,35,25200,1,0.10462,NIFTY27JAN2625200CE
2026-01-07 09:40:00,26145.15,9,40,25200,1,0.07079,NIFTY27JAN2625200CE
2026-01-07 09:45:00,26113.1,9,45,25200,1,,NIFTY27JAN2625200CE
2026-01-07 09:50:00,26110.0,9,50,25200,1,,NIFTY27JAN2625200CE
2026-01-07 09:55:00,26108.9,9,55,25200,1,0.13029,NIFTY27JAN2625200CE
2026-01-07 10:00:00,26140.3,10,0,25200,1,0.09239,NIFTY27JAN2625200CE
2026-01-07 10:05:00,26142.95,10,5,25200,1,,NIFTY27JAN2625200CE
2026-01-07 10:10:00,26159.15,10,10,25200,1,0.10591,NIFTY27JAN2625200CE
2026-01-07 10:15:00,26183.8,10,15,25200,1,0.12049,NIFTY27JAN2625200CE
2026-01-07 10:20:00,26169.15,10,20,25200,1,0.13492,NIFTY27JAN2625200CE
2026-01-07 10:25:00,26152.25,10,25,25200,1,0.14819,NIFTY27JAN2625200CE
2026-01-07 10:30:00,26130.45,10,30,25200,1,0.14045,NIFTY27JAN2625200CE
2026-01-07 10:35:00,26133.05,10,35,25200,1,0.13848,NIFTY27JAN2625200CE
2026-01-07 10:40:00,26144.05,10,40,25200,1,,NIFTY27JAN2625200CE
2026-01-07 10:45:00,26141.15,10,45,25200,1,0.12448,NIFTY27JAN2625200CE
2026-01-07 10:50:00,26146.85,10,50,25200,1,0.15441,NIFTY27JAN2625200CE
2026-01-07 10:55:00,26168.55,10,55,25200,1,0.11618,NIFTY27JAN2625200CE
2026-01-07 11:00:00,26160.15,11,0,25200,1,0.14217,NIFTY27JAN2625200CE
2026-01-07 11:05:00,26182.1,11,5,25200,1,,NIFTY27JAN2625200CE
2026-01-07 11:10:00,26166.7,11,10,25200,1,,NIFTY27JAN2625200CE
2026-01-07 11:15:00,26148.15,11,15,25200,1,0.15103,NIFTY27JAN2625200CE
2026-01-07 11:20:00,26148.9,11,20,25200,1,0.13325,NIFTY27JAN2625200CE
2026-01-07 11:25:00,26140.4,11,25,25200,1,0.14019,NIFTY27JAN2625200CE
2026-01-07 11:30:00,26144.45,11,30,25200,1,0.13223,NIFTY27JAN2625200CE
2026-01-07 11:35:00,26160.05,11,35,25200,1,0.1379,NIFTY27JAN2625200CE
2026-01-07 11:40:00,26147.1,11,40,25200,1,,NIFTY27JAN2625200CE
2026-01-07 11:45:00,26136.15,11,45,25200,1,0.15533,NIFTY27JAN2625200CE
2026-01-07 11:50:00,26138.65,11,50,25200,1,0.15371,NIFTY27JAN2625200CE
2026-01-07 11:55:00,26126.7,11,55,25200,1,,NIFTY27JAN2625200CE
2026-01-07 12:00:00,26121.55,12,0,25200,1,0.16447,NIFTY27JAN2625200CE
2026-01-07 12:05:00,26110.95,12,5,25200,1,0.17059,NIFTY27JAN2625200CE
2026-01-07 12:10:00,26110.45,12,10,25200,1,,NIFTY27JAN2625200CE
2026-01-07 12:15:00,26107.4,12,15,25200,1,0.1726,NIFTY27JAN2625200CE
2026-01-07 12:20:00,26103.3,12,20,25200,1,0.14749,NIFTY27JAN2625200CE
2026-01-07 12:25:00,26106.55,12,25,25200,1,0.14529,NIFTY27JAN2625200CE
2026-01-07 12:30:00,26108.85,12,30,25200,1,,NIFTY27JAN2625200CE
2026-01-07 12:35:00,26106.25,12,35,25200,1,0.13895,NIFTY27JAN2625200CE
2026-01-07 12:40:00,26103.5,12,40,25200,1,0.11991,NIFTY27JAN2625200CE
2026-01-07 12:45:00,26084.3,12,45,25200,1,0.13611,NIFTY27JAN2625200CE
2026-01-07 12:50:00,26084.8,12,50,25200,1,0.13576,NIFTY27JAN2625200CE
2026-01-07 12:55:00,26089.25,12,55,25200,1,,NIFTY27JAN2625200CE
2026-01-07 13:00:00,26099.15,13,0,25200,1,0.13774,NIFTY27JAN2625200CE
2026-01-07 13:05:00,26103.3,13,5,25200,1,,NIFTY27JAN2625200CE
2026-01-07 13:10:00,26105.85,13,10,25200,1,0.13259,NIFTY27JAN2625200CE
2026-01-07 13:15:00,26097.2,13,15,25200,1,0.13545,NIFTY27JAN2625200CE
2026-01-07 13:20:00,26097.45,13,20,25200,1,0.13528,NIFTY27JAN2625200CE
2026-01-07 13:25:00,26076.35,13,25,25200,1,0.13635,NIFTY27JAN2625200CE
2026-01-07 13:30:00,26070.0,13,30,25200,1,0.14088,NIFTY27JAN2625200CE
2026-01-07 13:35:00,26074.55,13,35,25200,1,,NIFTY27JAN2625200CE
2026-01-07 13:40:00,26074.2,13,40,25200,1,0.13798,NIFTY27JAN2625200CE
2026-01-07 13:45:00,26072.8,13,45,25200,1,,NIFTY27JAN2625200CE
2026-01-07 13:50:00,26083.4,13,50,25200,1,0.1311,NIFTY27JAN2625200CE
2026-01-07 13:55:00,26079.6,13,55,25200,1,0.13406,NIFTY27JAN2625200CE
2026-01-07 14:00:00,26088.65,14,0,25200,1,0.12683,NIFTY27JAN2625200CE
2026-01-07 14:05:00,26096.3,14,5,25200,1,0.11994,NIFTY27JAN2625200CE
2026-01-07 14:10:00,26100.95,14,10,25200,1,0.11527,NIFTY27JAN2625200CE
2026-01-07 14:15:00,26097.3,14,15,25200,1,,NIFTY27JAN2625200CE
2026-01-07 14:20:00,26090.7,14,20,25200,1,0.12516,NIFTY27JAN2625200CE
2026-01-07 14:25:00,26090.45,14,25,25200,1,0.1254,NIFTY27JAN2625200CE
2026-01-07 14:30:00,26098.65,14,30,25200,1,0.11775,NIFTY27JAN2625200CE
2026-01-07 14:35:00,26088.15,14,35,25200,1,0.12742,NIFTY27JAN2625200CE
2026-01-07 14:40:00,26097.55,14,40,25200,1,0.11889,NIFTY27JAN2625200CE
2026-01-07 14:45:00,26107.25,14,45,25200,1,0.12396,NIFTY27JAN2625200CE
2026-01-07 14:50:00,26098.4,14,50,25200,1,0.13162,NIFTY27JAN2625200CE
2026-01-07 14:55:00,26113.35,14,55,25200,1,0.13149,NIFTY27JAN2625200CE
2026-01-07 15:00:00,26123.1,15,0,25200,1,0.12276,NIFTY27JAN2625200CE
2026-01-07 15:05:00,26133.7,15,5,25200,1,0.11118,NIFTY27JAN2625200CE
2026-01-07 15:10:00,26142.1,15,10,25200,1,0.09884,NIFTY27JAN2625200CE
2026-01-07 15:15:00,26147.8,15,15,25200,1,0.10654,NIFTY27JAN2625200CE
2026-01-07 15:20:00,26138.3,15,20,25200,1,0.11792,NIFTY27JAN2625200CE
2026-01-07 15:25:00,26139.7,15,25,25200,1,0.11638,NIFTY27JAN2625200CE
2026-01-08 09:15:00,26101.75,9,15,25200,1,0.11678,NIFTY27JAN2625200CE
2026-01-08 09:20:00,26109.7,9,20,25200,1,0.10711,NIFTY27JAN2625200CE
2026-01-08 09:25:00,26087.55,9,25,25200,1,0.10989,NIFTY27JAN2625200CE
2026-01-08 09:30:00,26063.1,9,30,25200,1,0.13321,NIFTY27JAN2625200CE
2026-01-08 09:35:00,26053.95,9,35,25200,1,0.14005,NIFTY27JAN2625200CE
2026-01-08 09:40:00,26092.65,9,40,25200,1,,NIFTY27JAN2625200CE
2026-01-08 09:45:00,26077.7,9,45,25200,1,0.12038,NIFTY27JAN2625200CE
2026-01-08 09:50:00,26070.8,9,50,25200,1,0.12674,NIFTY27JAN2625200CE
2026-01-08 09:55:00,26089.4,9,55,25200,1,0.11893,NIFTY27JAN2625200CE
2026-01-08 10:00:00,26081.9,10,0,25200,1,0.12612,NIFTY27JAN2625200CE
2026-01-08 10:05:00,26068.05,10,5,25200,1,0.13746,NIFTY27JAN2625200CE
2026-01-08 10:10:00,26050.3,10,10,25200,1,,NIFTY27JAN2625200CE
2026-01-08 10:15:00,26055.25,10,15,25200,1,0.12383,NIFTY27JAN2625200CE
2026-01-08 10:20:00,26034.9,10,20,25200,1,,NIFTY27JAN2625200CE
2026-01-08 10:25:00,26034.15,10,25,25200,1,,NIFTY27JAN2625200CE
2026-01-08 10:30:00,26034.2,10,30,25200,1,0.13043,NIFTY27JAN2625200CE
2026-01-08 10:35:00,26040.5,10,35,25200,1,0.11556,NIFTY27JAN2625200CE
2026-01-08 10:40:00,26027.15,10,40,25200,1,0.12731,NIFTY27JAN2625200CE
2026-01-08 10:45:00,26033.1,10,45,25200,1,,NIFTY27JAN2625200CE
2026-01-08 10:50:00,26029.85,10,50,25200,1,0.11819,NIFTY27JAN2625200CE
2026-01-08 10:55:00,26018.95,10,55,25200,1,0.12741,NIFTY27JAN2625200CE
2026-01-08 11:00:00,26016.4,11,0,25200,1,0.12889,NIFTY27JAN2625200CE
2026-01-08 11:05:00,26011.95,11,5,25200,1,0.13223,NIFTY27JAN2625200CE
2026-01-08 11:10:00,26009.35,11,10,25200,1,,NIFTY27JAN2625200CE
2026-01-08 11:15:00,26005.55,11,15,25200,1,,NIFTY27JAN2625200CE
2026-01-08 11:20:00,25984.4,11,20,25200,1,0.14374,NIFTY27JAN2625200CE
2026-01-08 11:25:00,25968.0,11,25,25200,1,0.13393,NIFTY27JAN2625200CE
2026-01-08 11:30:00,25968.05,11,30,25200,1,,NIFTY27JAN2625200CE
2026-01-08 11:35:00,25971.65,11,35,25200,1,,NIFTY27JAN2625200CE
